GISJOIN,GEOID,STATEFP,COUNTYFP,STNAME,COUNAME,POPULATION,LATITUDE,LONGITUDE
G0100010,01001,01,001,Alabama,Autauga,58805,32.500194,-86.487813
G0100030,01003,01,003,Alabama,Baldwin,231767,30.537396,-87.761478
G0100050,01005,01,005,Alabama,Barbour,25223,31.843981,-85.301306
G0100070,01007,01,007,Alabama,Bibb,22293,33.032236,-87.136826
G0100090,01009,01,009,Alabama,Blount,59134,33.954604,-86.592667
G0100110,01011,01,011,Alabama,Bullock,10357,32.115838,-85.702354
G0100130,01013,01,013,Alabama,Butler,19051,31.776019,-86.6524
G0100150,01015,01,015,Alabama,Calhoun,116441,33.727215,-85.817974
G0100170,01017,01,017,Alabama,Chambers,34772,32.85644,-85.25964
G0100190,01019,01,019,Alabama,Cherokee,24971,34.180501,-85.629887
G0100210,01021,01,021,Alabama,Chilton,45014,32.879146,-86.688861
G0100230,01023,01,023,Alabama,Choctaw,12665,32.016121,-88.262482
G0100250,01025,01,025,Alabama,Clarke,23087,31.683493,-87.815868
G0100270,01027,01,027,Alabama,Clay,14236,33.274342,-85.817245
G0100290,01029,01,029,Alabama,Cleburne,15056,33.625217,-85.495748
G0100310,01031,01,031,Alabama,Coffee,53465,31.353217,-85.899556
G0100330,01033,01,033,Alabama,Colbert,57227,34.724339,-87.681892
G0100350,01035,01,035,Alabama,Conecuh,11597,31.41643,-86.997537
G0100370,01037,01,037,Alabama,Coosa,10387,32.976884,-86.156212
G0100390,01039,01,039,Alabama,Covington,37570,31.284146,-86.409203
G0100410,01041,01,041,Alabama,Crenshaw,13194,31.747324,-86.296787
G0100430,01043,01,043,Alabama,Cullman,87866,34.162652,-86.83269
G0100450,01045,01,045,Alabama,Dale,49326,31.383858,-85.63771
G0100470,01047,01,047,Alabama,Dallas,38462,32.411818,-87.035342
G0100490,01049,01,049,Alabama,DeKalb,71608,34.452725,-85.817465
G0100510,01051,01,051,Alabama,Elmore,87977,32.558527,-86.225332
G0100530,01053,01,053,Alabama,Escambia,36757,31.085439,-87.280078
G0100550,01055,01,055,Alabama,Etowah,103436,34.012182,-86.025892
G0100570,01057,01,057,Alabama,Fayette,16321,33.726912,-87.76749
G0100590,01059,01,059,Alabama,Franklin,32113,34.463509,-87.793592
G0100610,01061,01,061,Alabama,Geneva,26659,31.094511,-85.781426
G0100630,01063,01,063,Alabama,Greene,7730,32.833838,-87.924522
G0100650,01065,01,065,Alabama,Hale,14785,32.783251,-87.627964
G0100670,01067,01,067,Alabama,Henry,17146,31.469275,-85.271132
G0100690,01069,01,069,Alabama,Houston,107202,31.204793,-85.39632
G0100710,01071,01,071,Alabama,Jackson,52579,34.727289,-85.943552
G0100730,01073,01,073,Alabama,Jefferson,674721,33.517206,-86.811606
G0100750,01075,01,075,Alabama,Lamar,13972,33.761275,-88.108771
G0100770,01077,01,077,Alabama,Lauderdale,93564,34.865524,-87.608858
G0100790,01079,01,079,Alabama,Lawrence,33073,34.540863,-87.27158
G0100810,01081,01,081,Alabama,Lee,174241,32.592265,-85.359778
G0100830,01083,01,083,Alabama,Limestone,103570,34.803982,-86.922366
G0100850,01085,01,085,Alabama,Lowndes,10311,32.164241,-86.615186
G0100870,01087,01,087,Alabama,Macon,19532,32.429073,-85.711764
G0100890,01089,01,089,Alabama,Madison,388153,34.742996,-86.61533
G0100910,01091,01,091,Alabama,Marengo,19323,32.342372,-87.803475
G0100930,01093,01,093,Alabama,Marion,29341,34.110448,-87.876476
G0100950,01095,01,095,Alabama,Marshall,97612,34.311249,-86.291329
G0100970,01097,01,097,Alabama,Mobile,414809,30.684049,-88.175178
G0100990,01099,01,099,Alabama,Monroe,19772,31.4988,-87.364576
G0101010,01101,01,101,Alabama,Montgomery,228954,32.346473,-86.233787
G0101030,01103,01,103,Alabama,Morgan,123421,34.513887,-86.931981
G0101050,01105,01,105,Alabama,Perry,8511,32.584881,-87.369738
G0101070,01107,01,107,Alabama,Pickens,19123,33.284667,-88.074381
G0101090,01109,01,109,Alabama,Pike,33009,31.786041,-85.946994
G0101110,01111,01,111,Alabama,Randolph,21967,33.264692,-85.427378
G0101130,01113,01,113,Alabama,Russell,59183,32.414904,-85.054594
G0101150,01115,01,115,Alabama,St. Clair,91103,33.660943,-86.374875
G0101170,01117,01,117,Alabama,Shelby,223024,33.290336,-86.73899
G0101190,01119,01,119,Alabama,Sumter,12345,32.571003,-88.230925
G0101210,01121,01,121,Alabama,Talladega,82149,33.376936,-86.165876
G0101230,01123,01,123,Alabama,Tallapoosa,41311,32.851728,-85.864016
G0101250,01125,01,125,Alabama,Tuscaloosa,227036,33.214817,-87.518474
G0101270,01127,01,127,Alabama,Walker,65342,33.834217,-87.250515
G0101290,01129,01,129,Alabama,Washington,15388,31.413666,-88.195263
G0101310,01131,01,131,Alabama,Wilcox,10600,32.007448,-87.376912
G0101330,01133,01,133,Alabama,Winston,23540,34.164369,-87.415624
