state_abbr,geoid_st,geoid_co,co_category_area,enum_bl_category,cnt_total_locations,cnt_bcat_locations,cnt_fiber_locations,cnt_100_20_loc,cnt_25_3_loc,cnt_nb_bl,cnt_bl_not_reported,cnt_bl_is_unserved,cnt_bl_is_underserved,cnt_bl_is_served
NE,31,31015,Served,"{""Not Reported"",Served}",1832,1832,1832,1831,1831,399,39,0,0,360
AL,01,01001,Served,"{""Not Reported"",Served,Underserved,Unserved}",23545,23465,11014,22727,22593,1512,330,61,17,1104
AL,01,01003,Served,"{""Not Reported"",Served,Underserved,Unserved}",107204,105004,36329,84128,77025,6337,1754,910,439,3234
AL,01,01005,Served,"{""Not Reported"",Served,Underserved,Unserved}",13069,12935,488,8596,8063,1283,335,420,52,476
AL,01,01007,Underserved,"{""Not Reported"",Served,Underserved,Unserved}",9102,8671,900,2154,1356,1090,332,468,97,193
AL,01,01009,Served,"{""Not Reported"",Served,Underserved,Unserved}",28261,27711,4620,19963,9906,2404,398,356,755,895
AL,01,01011,Served,"{""Not Reported"",Served,Unserved}",5349,5243,4069,4093,4093,573,103,111,0,359
AL,01,01013,Served,"{""Not Reported"",Served,Underserved,Unserved}",10473,10131,2750,6199,5917,1238,282,415,36,505
AL,01,01015,Served,"{""Not Reported"",Served,Underserved,Unserved}",53567,52679,16519,49949,49159,4873,1021,207,73,3572
AL,01,01017,Served,"{""Not Reported"",Served,Underserved,Unserved}",16665,16446,802,14106,13145,1717,326,313,89,989
AL,01,01019,Underserved,"{""Not Reported"",Served,Underserved,Unserved}",17272,16845,137,12160,3299,1565,323,289,674,279
AL,01,01021,Served,"{""Not Reported"",Served,Underserved,Unserved}",21258,20305,8871,13644,10129,1749,316,379,281,773
AL,01,01023,Served,"{""Not Reported"",Served,Underserved,Unserved}",9213,8751,2023,5201,2023,852,161,301,228,162
AL,01,01025,Served,"{""Not Reported"",Served,Underserved,Unserved}",13543,12449,574,6381,4889,1282,298,458,115,411
AL,01,01027,Served,"{""Not Reported"",Served,Underserved,Unserved}",7225,6876,225,2744,2194,1216,277,582,115,242
AL,01,01029,Underserved,"{""Not Reported"",Served,Underserved,Unserved}",7251,6748,1182,1659,1184,1094,311,516,89,178
AL,01,01031,Served,"{""Not Reported"",Served,Underserved,Unserved}",26544,26171,8060,21664,21085,1887,294,233,38,1322
AL,01,01033,Served,"{""Not Reported"",Served,Underserved,Unserved}",28700,27655,4974,23115,21732,2927,593,305,130,1899
AL,01,01035,Served,"{""Not Reported"",Served,Underserved,Unserved}",7453,6369,30,3306,2072,956,217,349,156,234
AL,01,01037,Served,"{""Not Reported"",Served,Underserved,Unserved}",7255,6844,2380,5255,5063,936,270,124,22,520
AL,01,01039,Served,"{""Not Reported"",Served,Underserved,Unserved}",20872,20640,9209,18585,18491,2537,538,248,18,1733
AL,01,01041,Served,"{""Not Reported"",Served,Underserved,Unserved}",8079,7898,3744,4744,4182,926,177,251,69,429
AL,01,01043,Served,"{""Not Reported"",Served,Underserved,Unserved}",43299,42033,17351,33815,31710,3822,703,316,175,2628
AL,01,01045,Served,"{""Not Reported"",Served,Underserved,Unserved}",21591,21440,6185,15720,13329,1971,585,266,169,951
AL,01,01047,Served,"{""Not Reported"",Served,Underserved,Unserved}",19211,18403,1249,13956,13653,2008,496,466,36,1010
AL,01,01049,Served,"{""Not Reported"",Served,Underserved,Unserved}",33910,33568,23455,30525,28639,3636,477,230,216,2713
AL,01,01051,Served,"{""Not Reported"",Served,Underserved,Unserved}",37440,37222,11762,34582,32904,2487,649,86,59,1693
AL,01,01053,Served,"{""Not Reported"",Served,Underserved,Unserved}",18391,16672,113,11070,9715,2315,720,577,173,845
AL,01,01055,Served,"{""Not Reported"",Served,Underserved,Unserved}",48861,47853,12925,44510,43186,4186,750,235,137,3064
AL,01,01057,Served,"{""Not Reported"",Served,Underserved,Unserved}",9402,8920,3719,5055,4481,1245,212,425,83,525
AL,01,01059,Served,"{""Not Reported"",Served,Underserved,Unserved}",15182,14744,693,8622,8260,1854,464,547,42,801
AL,01,01061,Served,"{""Not Reported"",Served,Underserved,Unserved}",14491,14337,2327,10217,8570,1958,290,417,218,1033
AL,01,01063,Underserved,"{""Not Reported"",Served,Underserved,Unserved}",5153,4838,0,1111,952,856,308,442,20,86
AL,01,01065,Served,"{""Not Reported"",Served,Underserved,Unserved}",8451,7960,1482,3679,3600,874,222,326,12,314
AL,01,01067,Served,"{""Not Reported"",Served,Underserved,Unserved}",10537,10398,37,5335,4432,1112,252,513,81,266
AL,01,01069,Served,"{""Not Reported"",Served,Underserved,Unserved}",48107,47755,6171,43890,40875,3612,588,261,289,2474
AL,01,01071,Served,"{""Not Reported"",Served,Underserved,Unserved}",25990,25811,23136,23622,23530,3186,843,167,8,2168
AL,01,01073,Served,"{""Not Reported"",Served,Underserved,Unserved}",254938,254429,110588,250920,247284,24469,5271,246,335,18617
AL,01,01075,Served,"{""Not Reported"",Served,Underserved,Unserved}",7841,7800,7347,7566,7560,1178,221,31,1,925
AL,01,01077,Served,"{""Not Reported"",Served,Underserved,Unserved}",42802,41499,12878,36163,34026,3444,533,367,143,2401
AL,01,01079,Served,"{""Not Reported"",Served,Underserved,Unserved}",17626,17420,15726,16242,16075,2017,537,133,16,1331
AL,01,01081,Served,"{""Not Reported"",Served,Underserved,Unserved}",60733,60386,23856,58587,57985,3241,661,110,39,2431
AL,01,01083,Served,"{""Not Reported"",Served,Underserved,Unserved}",43108,42268,13050,38299,37514,3568,928,401,87,2152
AL,01,01085,Served,"{""Not Reported"",Served,Underserved,Unserved}",5614,4918,872,1572,1411,653,225,261,15,152
AL,01,01087,Served,"{""Not Reported"",Served,Underserved,Unserved}",10024,9802,817,6294,6043,1322,458,328,33,503
AL,01,01089,Served,"{""Not Reported"",Served,Underserved,Unserved}",146558,146262,115511,144602,144015,8447,1910,103,50,6384
AL,01,01091,Served,"{""Not Reported"",Served,Underserved,Unserved}",10198,9913,2698,6984,6755,1349,334,318,55,642
AL,01,01093,Served,"{""Not Reported"",Served,Underserved,Unserved}",15263,15263,15201,15215,15206,2463,574,8,2,1879
AL,01,01095,Served,"{""Not Reported"",Served,Underserved,Unserved}",42313,42035,17740,39596,39203,3775,711,139,32,2893
