geoid,geoid_co,st_fips,rural_cbsa_2019_flag,rural_cbsa_2019,rural_ruca_flag_2020,rural_def
01045020801,01045,01,1,Nonmetro,1,1
01017954200,01017,01,1,Nonmetro,1,1
01017953800,01017,01,1,Nonmetro,1,1
01017954300,01017,01,1,Nonmetro,1,1
01017954700,01017,01,1,Nonmetro,1,1
01125011600,01125,01,0,Metro,0,0
01125011701,01125,01,0,Metro,0,0
01125011800,01125,01,0,Metro,0,0
01023956800,01023,01,1,Nonmetro,1,1
01023956900,01023,01,1,Nonmetro,1,1
01023957000,01023,01,1,Nonmetro,1,1
01117030219,01117,01,0,Metro,0,0
01117030611,01117,01,0,Metro,0,0
01117030613,01117,01,0,Metro,0,0
01117030614,01117,01,0,Metro,0,0
01117030610,01117,01,0,Metro,0,0
01117030616,01117,01,0,Metro,0,0
01117030503,01117,01,0,Metro,0,0
01117030615,01117,01,0,Metro,0,0
01125012304,01125,01,0,Metro,0,0
01125012404,01125,01,0,Metro,0,0
01125012600,01125,01,0,Metro,0,0
01125012800,01125,01,0,Metro,0,0
01125011703,01125,01,0,Metro,0,0
01125012503,01125,01,0,Metro,0,0
01051030901,01051,01,0,Metro,0,0
01117030348,01117,01,0,Metro,0,0
01117030349,01117,01,0,Metro,0,0
01117030221,01117,01,0,Metro,0,0
01117030220,01117,01,0,Metro,0,0
01117030350,01117,01,0,Metro,0,0
01117030612,01117,01,0,Metro,0,0
01117030347,01117,01,0,Metro,0,0
01117030218,01117,01,0,Metro,0,0
01117030346,01117,01,0,Metro,0,0
01117030351,01117,01,0,Metro,0,0
01117030352,01117,01,0,Metro,0,0
01109189001,01109,01,1,Nonmetro,1,1
01109189102,01109,01,1,Nonmetro,1,1
01109189002,01109,01,1,Nonmetro,1,1
01109189101,01109,01,1,Nonmetro,1,1
01105687002,01105,01,1,Nonmetro,1,1
01105687001,01105,01,1,Nonmetro,1,1
01097005900,01097,01,0,Metro,0,0
01097006104,01097,01,0,Metro,0,0
01097005500,01097,01,0,Metro,0,0
01097007101,01097,01,0,Metro,0,0
01097003404,01097,01,0,Metro,0,0
01097007300,01097,01,0,Metro,0,0
01097006600,01097,01,0,Metro,0,0
01097002000,01097,01,0,Metro,0,0
01097001502,01097,01,0,Metro,0,0
01015000400,01015,01,0,Metro,0,0
01097003607,01097,01,0,Metro,0,0
01097001200,01097,01,0,Metro,0,0
01097005800,01097,01,0,Metro,0,0
01097006102,01097,01,0,Metro,0,0
01097002200,01097,01,0,Metro,0,0
01097003800,01097,01,0,Metro,0,0
01097007103,01097,01,0,Metro,0,0
01097003000,01097,01,0,Metro,0,0
01117030504,01117,01,0,Metro,0,0
01117980100,01117,01,0,Metro,0,0
01015002101,01015,01,0,Metro,0,0
01015001700,01015,01,0,Metro,0,0
01015000200,01015,01,0,Metro,0,0
01015002200,01015,01,0,Metro,0,0
01015000300,01015,01,0,Metro,0,0
01089010623,01089,01,0,Metro,0,0
01031010900,01031,01,1,Nonmetro,1,1
01031010500,01031,01,1,Nonmetro,1,1
01031011000,01031,01,1,Nonmetro,1,1
01031010800,01031,01,1,Nonmetro,1,1
01031011300,01031,01,1,Nonmetro,1,1
01031010600,01031,01,1,Nonmetro,1,1
01031010700,01031,01,1,Nonmetro,1,1
01031010200,01031,01,1,Nonmetro,1,1
01031010300,01031,01,1,Nonmetro,1,1
01031010400,01031,01,1,Nonmetro,1,1
01031010100,01031,01,1,Nonmetro,1,1
01097007600,01097,01,0,Metro,0,0
01113031000,01113,01,0,Metro,0,0
01113031200,01113,01,0,Metro,0,0
01113030800,01113,01,0,Metro,0,0
01113031100,01113,01,0,Metro,0,0
01113030200,01113,01,0,Metro,0,0
01113030300,01113,01,0,Metro,0,0
01113030500,01113,01,0,Metro,0,0
01031011100,01031,01,1,Nonmetro,1,1
01113030700,01113,01,0,Metro,0,0
01083020500,01083,01,0,Metro,1,1
01083020300,01083,01,0,Metro,1,1
01073011109,01073,01,0,Metro,0,0
01073014002,01073,01,0,Metro,0,0
01073011002,01073,01,0,Metro,0,0
01073012704,01073,01,0,Metro,0,0
01073011110,01073,01,0,Metro,0,0
01035960600,01035,01,1,Nonmetro,1,1
01035960300,01035,01,1,Nonmetro,1,1
01035960500,01035,01,1,Nonmetro,1,1
01035960400,01035,01,1,Nonmetro,1,1
01009050601,01009,01,0,Metro,0,0
01047956900,01047,01,1,Nonmetro,1,1
01125010102,01125,01,0,Metro,0,0
01125010500,01125,01,0,Metro,0,0
01125010406,01125,01,0,Metro,0,0
01125010703,01125,01,0,Metro,0,0
01125010101,01125,01,0,Metro,0,0
01125010204,01125,01,0,Metro,0,0
01125010405,01125,01,0,Metro,0,0
01125010201,01125,01,0,Metro,0,0
01125012305,01125,01,0,Metro,0,0
01125012501,01125,01,0,Metro,0,0
01125010802,01125,01,0,Metro,0,0
01125012403,01125,01,0,Metro,0,0
01125010404,01125,01,0,Metro,0,0
01097007500,01097,01,0,Metro,0,0
01089001301,01089,01,0,Metro,0,0
01125010303,01125,01,0,Metro,0,0
01125010407,01125,01,0,Metro,0,0
01125010803,01125,01,0,Metro,0,0
01125010203,01125,01,0,Metro,0,0
01125012700,01125,01,0,Metro,0,0
01125010302,01125,01,0,Metro,0,0
01125010403,01125,01,0,Metro,0,0
01125010601,01125,01,0,Metro,0,0
01125010804,01125,01,0,Metro,0,0
01125011200,01125,01,0,Metro,0,0
01073014209,01073,01,0,Metro,0,0
01073014208,01073,01,0,Metro,0,0
01073014206,01073,01,0,Metro,0,0
01073014205,01073,01,0,Metro,0,0
01073014207,01073,01,0,Metro,0,0
01073014303,01073,01,0,Metro,0,0
01073014106,01073,01,0,Metro,0,0
01073004502,01073,01,0,Metro,0,0
01073004501,01073,01,0,Metro,0,0
01073002701,01073,01,0,Metro,0,0
01073002402,01073,01,0,Metro,0,0
01073002401,01073,01,0,Metro,0,0
01073012917,01073,01,0,Metro,0,0
01073011115,01073,01,0,Metro,0,0
01073011114,01073,01,0,Metro,0,0
01073012918,01073,01,0,Metro,0,0
01073011709,01073,01,0,Metro,0,0
01073014304,01073,01,0,Metro,0,0
01073014415,01073,01,0,Metro,0,0
01073014414,01073,01,0,Metro,0,0
01073011116,01073,01,0,Metro,0,0
01073011117,01073,01,0,Metro,0,0
01073012003,01073,01,0,Metro,0,0
01073012804,01073,01,0,Metro,0,0
01073010806,01073,01,0,Metro,0,0
01073012916,01073,01,0,Metro,0,0
01101005611,01101,01,0,Metro,0,0
01101005608,01101,01,0,Metro,0,0
01101005503,01101,01,0,Metro,0,0
01101005501,01101,01,0,Metro,0,0
01101005504,01101,01,0,Metro,0,0
01101005502,01101,01,0,Metro,0,0
01101005612,01101,01,0,Metro,0,0
01101005610,01101,01,0,Metro,0,0
01133965502,01133,01,1,Nonmetro,1,1
01133965501,01133,01,1,Nonmetro,1,1
01133965503,01133,01,1,Nonmetro,1,1
01073014408,01073,01,0,Metro,0,0
01073011301,01073,01,0,Metro,0,0
01073012703,01073,01,0,Metro,0,0
01059973702,01059,01,1,Nonmetro,1,1
01019956101,01019,01,1,Nonmetro,1,1
01019955802,01019,01,1,Nonmetro,1,1
01019955801,01019,01,1,Nonmetro,1,1
01019956102,01019,01,1,Nonmetro,1,1
01121011301,01121,01,1,Nonmetro,1,1
01121011302,01121,01,1,Nonmetro,1,1
01121011502,01121,01,1,Nonmetro,1,1
01121011501,01121,01,1,Nonmetro,1,1
01071950601,01071,01,1,Nonmetro,1,1
01071950301,01071,01,1,Nonmetro,1,1
01049960102,01049,01,1,Nonmetro,1,1
01049960701,01049,01,1,Nonmetro,1,1
01049960402,01049,01,1,Nonmetro,1,1
01049960303,01049,01,1,Nonmetro,1,1
01049960602,01049,01,1,Nonmetro,1,1
01049960702,01049,01,1,Nonmetro,1,1
01049960101,01049,01,1,Nonmetro,1,1
01049960302,01049,01,1,Nonmetro,1,1
01103005602,01103,01,0,Metro,1,1
01103005703,01103,01,0,Metro,0,0
01103005704,01103,01,0,Metro,0,0
01103005601,01103,01,0,Metro,1,1
01103005202,01103,01,0,Metro,0,0
01073011805,01073,01,0,Metro,0,0
01073012805,01073,01,0,Metro,0,0
01123962600,01123,01,1,Nonmetro,1,1
01123962100,01123,01,1,Nonmetro,1,1
01043965402,01043,01,1,Nonmetro,1,1
01079979201,01079,01,0,Metro,0,0
01079979202,01079,01,0,Metro,0,0
01079979502,01079,01,0,Metro,0,0
01079979501,01079,01,0,Metro,0,0
01009050103,01009,01,0,Metro,1,1
01009050107,01009,01,0,Metro,1,1
01009050603,01009,01,0,Metro,0,0
01009050105,01009,01,0,Metro,1,1
01009050702,01009,01,0,Metro,0,0
01009050701,01009,01,0,Metro,0,0
01009050604,01009,01,0,Metro,0,0
01009050302,01009,01,0,Metro,1,1
01009050301,01009,01,0,Metro,1,1
01009050501,01009,01,0,Metro,0,0
01009050502,01009,01,0,Metro,0,0
01115040110,01115,01,0,Metro,0,0
01115040302,01115,01,0,Metro,0,0
01115040207,01115,01,0,Metro,1,1
01115040209,01115,01,0,Metro,1,1
01115040301,01115,01,0,Metro,0,0
01115040503,01115,01,0,Metro,0,0
01115040108,01115,01,0,Metro,0,0
01115040507,01115,01,0,Metro,0,0
01115040211,01115,01,0,Metro,1,1
01115040208,01115,01,0,Metro,1,1
01115040210,01115,01,0,Metro,1,1
01115040213,01115,01,0,Metro,1,1
01115040212,01115,01,0,Metro,1,1
01115040107,01115,01,0,Metro,0,0
01115040505,01115,01,0,Metro,0,0
01115040109,01115,01,0,Metro,0,0
01115040508,01115,01,0,Metro,0,0
01115040206,01115,01,0,Metro,1,1
01115040506,01115,01,0,Metro,0,0
01115040504,01115,01,0,Metro,0,0
01053969802,01053,01,1,Nonmetro,1,1
01053969801,01053,01,1,Nonmetro,1,1
01093964600,01093,01,1,Nonmetro,1,1
01093964100,01093,01,1,Nonmetro,1,1
01093964200,01093,01,1,Nonmetro,1,1
01093964300,01093,01,1,Nonmetro,1,1
01093964500,01093,01,1,Nonmetro,1,1
01073014107,01073,01,0,Metro,0,0
01073011806,01073,01,0,Metro,0,0
01073011708,01073,01,0,Metro,0,0
01073012921,01073,01,0,Metro,0,0
01073011112,01073,01,0,Metro,0,0
01073011113,01073,01,0,Metro,0,0
01073012920,01073,01,0,Metro,0,0
01073010807,01073,01,0,Metro,0,0
01073011303,01073,01,0,Metro,0,0
01073011003,01073,01,0,Metro,0,0
01073011707,01073,01,0,Metro,0,0
01073011004,01073,01,0,Metro,0,0
01073010605,01073,01,0,Metro,0,0
01073010604,01073,01,0,Metro,0,0
01073012004,01073,01,0,Metro,0,0
01073011710,01073,01,0,Metro,0,0
01073012307,01073,01,0,Metro,0,0
01073011304,01073,01,0,Metro,0,0
01073002702,01073,01,0,Metro,0,0
01073012306,01073,01,0,Metro,0,0
01073011401,01073,01,0,Metro,0,0
01073012919,01073,01,0,Metro,0,0
01001020200,01001,01,0,Metro,0,0
01001020600,01001,01,0,Metro,0,0
01001020100,01001,01,0,Metro,0,0
01001020700,01001,01,0,Metro,0,0
01001020400,01001,01,0,Metro,0,0
01045020500,01045,01,1,Nonmetro,1,1
01045020700,01045,01,1,Nonmetro,1,1
01045021400,01045,01,1,Nonmetro,1,1
01019955702,01019,01,1,Nonmetro,1,1
01011952500,01011,01,1,Nonmetro,1,1
01111000600,01111,01,1,Nonmetro,1,1
01027959000,01027,01,1,Nonmetro,1,1
01081042003,01081,01,0,Metro,0,0
01121010301,01121,01,1,Nonmetro,1,1
01121010600,01121,01,1,Nonmetro,1,1
01121010302,01121,01,1,Nonmetro,1,1
01081040901,01081,01,0,Metro,0,0
01019955900,01019,01,1,Nonmetro,1,1
01019956000,01019,01,1,Nonmetro,1,1
01123962400,01123,01,1,Nonmetro,1,1
01123962200,01123,01,1,Nonmetro,1,1
01123962502,01123,01,1,Nonmetro,1,1
01123962000,01123,01,1,Nonmetro,1,1
01103000300,01103,01,0,Metro,0,0
01103000400,01103,01,0,Metro,0,0
01103000600,01103,01,0,Metro,0,0
01103000700,01103,01,0,Metro,0,0
01103000800,01103,01,0,Metro,0,0
01103000900,01103,01,0,Metro,0,0
01103001000,01103,01,0,Metro,0,0
01103005303,01103,01,0,Metro,0,0
01113030403,01113,01,0,Metro,0,0
01113030903,01113,01,0,Metro,0,0
01113030907,01113,01,0,Metro,0,0
01113030602,01113,01,0,Metro,0,0
01113030404,01113,01,0,Metro,0,0
01113030905,01113,01,0,Metro,0,0
01113030904,01113,01,0,Metro,0,0
01113030906,01113,01,0,Metro,0,0
01113030601,01113,01,0,Metro,0,0
01033020200,01033,01,0,Metro,0,0
01033020300,01033,01,0,Metro,0,0
01033020400,01033,01,0,Metro,0,0
01043965502,01043,01,1,Nonmetro,1,1
01043964902,01043,01,1,Nonmetro,1,1
01043965501,01043,01,1,Nonmetro,1,1
01043964201,01043,01,1,Nonmetro,1,1
01043964202,01043,01,1,Nonmetro,1,1
01043965002,01043,01,1,Nonmetro,1,1
01043965001,01043,01,1,Nonmetro,1,1
01043964901,01043,01,1,Nonmetro,1,1
01033020500,01033,01,0,Metro,0,0
01037961200,01037,01,1,Nonmetro,1,1
01037961100,01037,01,1,Nonmetro,1,1
01037961000,01037,01,1,Nonmetro,1,1
01109188900,01109,01,1,Nonmetro,1,1
01109188700,01109,01,1,Nonmetro,1,1
01109188800,01109,01,1,Nonmetro,1,1
01109188600,01109,01,1,Nonmetro,1,1
01109189300,01109,01,1,Nonmetro,1,1
01109189200,01109,01,1,Nonmetro,1,1
01073005905,01073,01,0,Metro,0,0
01073005907,01073,01,0,Metro,0,0
01073005908,01073,01,0,Metro,0,0
01047957200,01047,01,1,Nonmetro,1,1
01047956201,01047,01,1,Nonmetro,1,1
01117030337,01117,01,0,Metro,0,0
01117030704,01117,01,0,Metro,0,0
01073010001,01073,01,0,Metro,0,0
01073010002,01073,01,0,Metro,0,0
01073010200,01073,01,0,Metro,0,0
01073010301,01073,01,0,Metro,0,0
01073010302,01073,01,0,Metro,0,0
01073010401,01073,01,0,Metro,0,0
01073010402,01073,01,0,Metro,0,0
01097004800,01097,01,0,Metro,0,0
01073010603,01073,01,0,Metro,0,0
01073010701,01073,01,0,Metro,0,0
01073010702,01073,01,0,Metro,0,0
01073010703,01073,01,0,Metro,0,0
01097003501,01097,01,0,Metro,0,0
01097004900,01097,01,0,Metro,0,0
01097005000,01097,01,0,Metro,0,0
01097001501,01097,01,0,Metro,0,0
01097001800,01097,01,0,Metro,0,0
01015001300,01015,01,0,Metro,0,0
01015001201,01015,01,0,Metro,0,0
01015000500,01015,01,0,Metro,0,0
01015000800,01015,01,0,Metro,0,0
01097003502,01097,01,0,Metro,0,0
01097005100,01097,01,0,Metro,0,0
01097005200,01097,01,0,Metro,0,0
01097002900,01097,01,0,Metro,0,0
01097003602,01097,01,0,Metro,0,0
01097003606,01097,01,0,Metro,0,0
01097003608,01097,01,0,Metro,0,0
01097003703,01097,01,0,Metro,0,0
01097006403,01097,01,0,Metro,0,0
01097001901,01097,01,0,Metro,0,0
01097001902,01097,01,0,Metro,0,0
01073010704,01073,01,0,Metro,0,0
01073010705,01073,01,0,Metro,0,0
01073010706,01073,01,0,Metro,0,0
01073010801,01073,01,0,Metro,0,0
01055010402,01055,01,0,Metro,0,0
01055010601,01055,01,0,Metro,0,0
01055011200,01055,01,0,Metro,0,0
01055011001,01055,01,0,Metro,1,1
01097003100,01097,01,0,Metro,0,0
01015981901,01015,01,0,Metro,0,0
01103005109,01103,01,0,Metro,0,0
01103005108,01103,01,0,Metro,0,0
01097003202,01097,01,0,Metro,0,0
01097003704,01097,01,0,Metro,0,0
01097003705,01097,01,0,Metro,0,0
01097003706,01097,01,0,Metro,0,0
01097003707,01097,01,0,Metro,0,0
01133965700,01133,01,1,Nonmetro,1,1
01097002100,01097,01,0,Metro,0,0
01097003203,01097,01,0,Metro,0,0
01133965800,01133,01,1,Nonmetro,1,1
01133965900,01133,01,1,Nonmetro,1,1
01073003700,01073,01,0,Metro,0,0
01073010804,01073,01,0,Metro,0,0
01073011206,01073,01,0,Metro,0,0
01073011500,01073,01,0,Metro,0,0
01073011704,01073,01,0,Metro,0,0
01073012001,01073,01,0,Metro,0,0
01073010900,01073,01,0,Metro,0,0
01073011207,01073,01,0,Metro,0,0
01007010001,01007,01,0,Metro,0,0
01073011208,01073,01,0,Metro,0,0
01103005106,01103,01,0,Metro,0,0
01073011209,01073,01,0,Metro,0,0
01073011803,01073,01,0,Metro,0,0
01073011804,01073,01,0,Metro,0,0
01073012200,01073,01,0,Metro,0,0
01073014406,01073,01,0,Metro,0,0
01105686800,01105,01,1,Nonmetro,1,1
01073012500,01073,01,0,Metro,0,0
01073013100,01073,01,0,Metro,0,0
01073000100,01073,01,0,Metro,0,0
01073000300,01073,01,0,Metro,0,0
01073012401,01073,01,0,Metro,0,0
01073012402,01073,01,0,Metro,0,0
01117030336,01117,01,0,Metro,0,0
01005950900,01005,01,1,Nonmetro,1,1
01005950100,01005,01,1,Nonmetro,1,1
01005950600,01005,01,1,Nonmetro,1,1
01005950200,01005,01,1,Nonmetro,1,1
01005950300,01005,01,1,Nonmetro,1,1
01005950500,01005,01,1,Nonmetro,1,1
01005950400,01005,01,1,Nonmetro,1,1
01005950700,01005,01,1,Nonmetro,1,1
01005950800,01005,01,1,Nonmetro,1,1
01073000400,01073,01,0,Metro,0,0
01073012907,01073,01,0,Metro,0,0
01073012908,01073,01,0,Metro,0,0
01073013002,01073,01,0,Metro,0,0
01073013200,01073,01,0,Metro,0,0
01073013300,01073,01,0,Metro,0,0
01073013400,01073,01,0,Metro,0,0
01105687100,01105,01,1,Nonmetro,1,1
01095030402,01095,01,1,Nonmetro,1,1
01103005305,01103,01,0,Metro,0,0
01103005306,01103,01,0,Metro,0,0
01103005201,01103,01,0,Metro,0,0
01101002201,01101,01,0,Metro,0,0
01101002202,01101,01,0,Metro,0,0
01101002300,01101,01,0,Metro,0,0
01101002400,01101,01,0,Metro,0,0
01101002500,01101,01,0,Metro,0,0
01101002600,01101,01,0,Metro,0,0
01103000200,01103,01,0,Metro,0,0
01101002700,01101,01,0,Metro,0,0
01101003000,01101,01,0,Metro,0,0
01101003100,01101,01,0,Metro,0,0
01101003200,01101,01,0,Metro,0,0
01103005101,01103,01,0,Metro,0,0
01103005105,01103,01,0,Metro,0,0
01097006704,01097,01,0,Metro,0,0
01097005702,01097,01,0,Metro,0,0
01097006305,01097,01,0,Metro,0,0
01103005500,01103,01,0,Metro,0,0
01103005405,01103,01,0,Metro,0,0
01003990000,01003,01,0,Metro,0,0
01101003301,01101,01,0,Metro,0,0
01101005301,01101,01,0,Metro,0,0
01101005302,01101,01,0,Metro,0,0
01097005601,01097,01,0,Metro,0,0
01097005701,01097,01,0,Metro,0,0
01097005602,01097,01,0,Metro,0,0
01097006505,01097,01,0,Metro,0,0
01097006202,01097,01,0,Metro,0,0
01097006107,01097,01,0,Metro,0,0
01097006504,01097,01,0,Metro,0,0
01097006306,01097,01,0,Metro,0,0
01097006412,01097,01,0,Metro,0,0
01097006413,01097,01,0,Metro,0,0
01097007204,01097,01,0,Metro,1,1
01097006703,01097,01,0,Metro,0,0
01097007203,01097,01,0,Metro,1,1
01097003712,01097,01,0,Metro,0,0
01097006304,01097,01,0,Metro,0,0
01097003410,01097,01,0,Metro,0,0
01097006106,01097,01,0,Metro,0,0
01097006201,01097,01,0,Metro,0,0
